country,year,sex,age,suicides_no,population
Greece,1996,female,25-34 years,9.0,793234.0
Greece,1996,female,35-54 years,14.0,1401680.0
Greece,1996,female,5-14 years,0.0,621226.0
Greece,1996,female,55-74 years,19.0,1194081.0
Greece,1996,female,75+ years,15.0,373612.0
Greece,1996,male,15-24 years,22.0,834973.0
Greece,1996,male,25-34 years,61.0,810792.0
Greece,1996,male,35-54 years,87.0,1383751.0
Greece,1996,male,5-14 years,0.0,665659.0
Greece,1996,male,55-74 years,92.0,1060815.0
Greece,1996,male,75+ years,32.0,274940.0
Greece,1997,female,15-24 years,6.0,761478.0
Greece,1997,female,25-34 years,5.0,804801.0
Greece,1997,female,35-54 years,15.0,1423001.0
Greece,1997,female,5-14 years,0.0,606406.0
Greece,1997,female,55-74 years,19.0,1209324.0
Greece,1997,female,75+ years,10.0,376804.0
Greece,1997,male,15-24 years,44.0,834403.0
Greece,1997,male,25-34 years,68.0,827622.0
Greece,1997,male,35-54 years,95.0,1405076.0
Greece,1997,male,5-14 years,2.0,650332.0
Greece,1997,male,55-74 years,72.0,1072438.0
Greece,1997,male,75+ years,38.0,277121.0
Greece,1998,female,15-24 years,3.0,758576.0
Greece,1998,female,25-34 years,17.0,815617.0
Greece,1998,female,35-54 years,26.0,1443403.0
Greece,1998,female,5-14 years,1.0,591137.0
Greece,1998,female,55-74 years,37.0,1224042.0
Greece,1998,female,75+ years,4.0,379955.0
Greece,1998,male,15-24 years,24.0,832475.0
Greece,1998,male,25-34 years,60.0,843149.0
Greece,1998,male,35-54 years,87.0,1425116.0
Greece,1998,male,5-14 years,0.0,634318.0
Greece,1998,male,55-74 years,105.0,1083539.0
Greece,1998,male,75+ years,39.0,279303.0
Greece,1999,female,15-24 years,7.0,754876.0
Greece,1999,female,25-34 years,16.0,825404.0
Greece,1999,female,35-54 years,24.0,1462495.0
Greece,1999,female,5-14 years,0.0,575316.0
Greece,1999,female,55-74 years,28.0,1238252.0
Greece,1999,female,75+ years,10.0,382856.0
Greece,1999,male,15-24 years,29.0,829252.0
